招呼	85
一时	84
谈话	84
番	84
待	84
趁	84
自然	84
如今	84
尽	84
肩膀	84
此外	84
预备	84
歇	84
拣	84
官	84
处	84
跟前	84
针	84
科技	84
地形	84
物理	84
脚步	83
值得	83
背后	83
猪	83
主人	83
语言	83
限制	83
期间	83
目标	83
快乐	83
主张	83
行为	83
窝	83
大队	83
相互	83
微微	83
晓得	83
瘦	82
必	82
适应	82
前途	82
口袋	82
成就	82
本	82
花	82
防	82
答	82
一边	82
半天	82
土壤	82
反而	81
夹	81
准确	81
之中	81
胸	81
相同	81
砍	81
商店	81
警察	81
台	81
确定	81
对不起	81
率	81
改进	81
病人	81
生意	81
忍	81
婶	81
满意	80
顾	80
命令	80
看来	80
接近	80
对待	80
单	80
文件	80
头	80
粒	80
薄	80
资本家	80
骨	80
改善	80
选举	80
胃	80
惊	80
草原	80
能源	80
斜	79
当前	79
依	79
虽	79
深入	79
身边	79
全体	79
命运	79
拿	79
调	79
不论	79
匹	79
讲话	79
多少	79
吸收	79
耐	79
银行	79
摘	79
满足	79
喷	79
大众	79
孔	79
明	78
副	78
暗	78
面	78
接触	78
健康	78
本领	78
呼吸	78
夺	78
呆	78
西北	78
企图	78
成果	78
怀	78
研制	78
汽油	78
班长	78
遇	77
无数	77
今	77
对付	77
守	77
理解	77
割	77
正常	77
平等	77
就是说	77
仅	77
组	77
苹果	77
小朋友	77
椅子	77
瞪	77
猜	77
逼	77
检验	77
大陆	77
嚷	77
法西斯	77
信心	76
显	76
投	76
热烈	76
反正	76
动作	76
有时候	76
文	76
不住	76
白	76
章	76
纺织	76
毒	76
盆	76
口号	76
嘿	76
唯心	76
价格	76
工会	76
哇	76
分队	76
之外	75
软	75
亲切	75
害	75
等于	75
小说	75
脑	75
人才	75
灌溉	75
分配	75
公	75
沉	75
狼	75
猴子	75
盆地	75
帝	75
投降	75
蒸汽	75
嫂	75
绕	74
扎	74
愉快	74
唯一	74
手段	74
凭	74
局面	74
光辉	74
动手	74
大地	74
条	74
贯彻	74
符合	74
对象	74
翅膀	74
照片	74
以下	74
老虎	74
教导	74
纷纷	74
淡	74
扯	74
缺乏	74
半夜	74
通讯	74
小麦	74
十月	74
牲口	74
燃料	74
强度	74
支部	74
至少	73
认	73
准	73
显然	73
透	73
空中	73
怪	73
鼓舞	73
脖子	73
不大	73
本身	73
饱	73
叹	73
广播	73
访问	73
促进	73
职工	73
系	73
水泥	73
奴隶	73
节约	73
吐	73
浓	73
按	73
无限	73
巨	73
帮忙	73
天然	73
雷	73
打仗	73
动力	73
超	73
自从	72
相反	72
浅	72
肯定	72
大门	72
宣布	72
食	72
省	72
骗	72
好处	72
背	72
未来	72
桶	72
刻	72
机构	72
无法	72
适当	72
来到	72
供	72
防止	72
平方	72
手术	72
极了	72
蜜蜂	72
钓	72
昆虫	72
转移	71
迈	71
不必	71
选择	71
数	71
适合	71
亲爱	71
客气	71
之下	71
照顾	71
游击	71
社员	71
减	71
方案	71
消化	71
人造	71
客	71
地震	71
难过	71
毛	71
勇敢	70
毛病	70
当中	70
要紧	70
严格	70
磨	70
等到	70
的确	70
在于	70
盐	70
届	70
合理	70
输	70
炮	70
红旗	70
气温	70
工农兵	70
酸	70
生动	70
打倒	70
数量	70
河流	70
大哥	70
脸色	69
失	69
扫	69
泪	69
光明	69
怪	69
反复	69
血	69
死	69
首	69
强调	69
浪费	69
攻击	69
降低	69
创作	69
车站	69
能	69
机床	69
卷	69
平衡	69
陪	69
从而	69
包围	69
营	69
草地	69
主力	69
厘米	69
县委	69
姐	69
始终	68
热闹	68
漂亮	68
平静	68
可惜	68
夜里	68
寻找	68
辛苦	68
脱离	68
散	68
帽	68
凉	68
开辟	68
建议	68
背	68
样	68
神经	68
划	68
成熟	68
捕	68
专业	68
原理	68
道德	68
爱情	68
嘴唇	68
拔	68
染	68
结婚	68
仪器	68
蛇	68
鼓励	67
估计	67
一面	67
兄弟	67
骄傲	67
寄	67
支援	67
竹	67
舞	67
顺	67
天文	67
挡	67
扶	67
缝	67
司令	67
奶	67
浮	67
玉米	67
修改	67
混凝土	67
老头子	67
总之	66
新鲜	66
温暖	66
吃惊	66
掀	66
神	66
明显	66
害怕	66
鬼	66
锅	66
月亮	66
龙	66
火柴	66
参观	66
课程	66
公斤	66
罢工	66
闲	66
配合	66
堆	66
递	66
匪徒	66
婶婶	66
痛快	65
面貌	65
毫无	65
自我	65
闻	65
还	65
多数	65
堵	65
除	65
除	65
乘	65
重视	65
款	65
记者	65
本质	65
慌	65
不安	65
英勇	65
身	65
牵	65
桥梁	65
盯	65
条约	65
降水	65
详细	64
对面	64
有力	64
胜	64
秋	64
烂	64
补	64
遭	64
一半	64
压力	64
分别	64
发揚	64
袋	64
倒是	64
踩	64
保	64
学术	64
碑	64
经历	64
白天	64
赞成	64
从	64
综合	64
模样	64
里头	64
整风	64
立方	64
地图	64
乡下	64
连	64
其余	63
嘴巴	63
自觉	63
准	63
正好	63
长	63
拥护	63
思索	63
麻烦	63
急忙	63
锻炼	63
臭	63
不许	63
不得不	63
安	63
影子	63
喂	63
团体	63
树林	63
盘	63
煤油	63
粮	63
电灯	63
寸	63
遵守	63
星星	63
山头	63
纱	63
幕	63
料	63
管	63
操作	63
移动	63
挺	63
血管	63
形状	63
抗战	63
不可	63
卫星	63
电力	63
舱	63
纺	63
哦	63
怎	62
顺	62
傻	62
密	62
乐	62
跨	62
激烈	62
坚强	62
光	62
房间	62
单	62
丈夫	62
遭到	62
文字	62
松	62
轮船	62
发达	62
弹	62
采	62
印刷	62
工艺	62
地势	62
松	62
捏	62
折	62
显著	62
违反	62
区别	62
目光	62
交换	62
从事	62
手榴弹	62
男人	62
记忆	62
骨头	62
东南	62
占领	62
兵力	62
草案	62
叔	62
硬	61
合适	61
归	61
高大	61
不然	61
一齐	61
言	61
先后	61
探	61
结实	61
构成	61
滴	61
作家	61
住宅	61
枝	61
心脏	61
事件	61
炮弹	61
科	61
箭	61
测量	61
哎呀	61
作业	61
随时	61
绳子	61
神气	61
情景	61
装置	61
消费	61
首长	61
飞行	61
发电	61
老人家	61
默默	61
招	60
迎	60
彼此	60
银	60
星期	60
推翻	60
首都	60
塞	60
秋天	60
配	60
街道	60
价	60
红色	60
公路	60
凡	60
考	60
读者	60
收拾	60
埋	60
连续	60
毫不	60
关键	60
气象	60
性能	60
签订	60
兵团	60
吵	60
县长	60
污染	60
失去	59
暂时	59
议论	59
缺	59
感动	59
感谢	59
白色	59
安静	59
转变	59
西南	59
市场	59
生存	59
出身	59
厂长	59
状态	59
拒绝	59
结论	59
后边	59
恨	59
袄	59
状况	59
涂	59
人工	59
基地	59
吊	59
帮	59
人体	59
驾驶	59
夏	58
撕	58
稍	58
缺少	58
便宜	58
拦	58
绝对	58
极其	58
初步	58
业务	58
牙齿	58
觉悟	58
计划	58
当年	58
课本	58
钟头	58
株	58
稳定	58
糊涂	58
呆	58
丛	58
比例	58
质	58
施工	58
苗	58
豆	58
货币	58
仰	58
伙计	58
半导体	58
正式	57
之前	57
印象	57
同情	57
团	57
少	57
千万	57
看法	57
怀	57
好看	57
地点	57
抄	57
善于	57
块	57
均	57
多	57
出版	57
小米	57
庄严	57
托	57
东方	57
实事求是	57
倾向	57
抵抗	57
朝	57
剂	57
病菌	57
忍不住	57
想象	56
居然	56
箱	56
稳	56
若	56
情	56
教员	56
计	56
尖锐	56
官撩	56
寒	56
负	56
地下	56
大人	56
大多数	56
长征	56
布置	56
查	56
不行	56
渠	56
顾客	56
虫子	56
奔	56
衣裳	56
缩	56
人群	56
胡子	56
死亡	56
手工	56
经营	56
纠正	56
盒	56
不少	56
岭	56
进化	56
震	56
人家	56
丫头	56
扭	56
伯伯	56
意外	55
一同	55
训练	55
笑容	55
齐	55
闯	55
重	55
差	55
宝贵	55
保存	55
用不着	55
危害	55
位	55
提倡	55
损失	55
亲	55
切	55
颇	55
片面	55
南方	55
临时	55
格外	55
费	55
反抗	55
到达	55
成分	55
迟	55
营养	55
甲	55
法律	55
堤	55
手指	55
田野	55
庙	55
来说	55
跪	55
否定	55
表明	55
热	55
捆	55
干活	55
乡村	55
化工	55
小资产阶级	55
电流	55
脏	54
一道	54
威胁	54
投入	54
上午	54
散	54
可怕	54
可见	54
据说	54
混	54
感	54
串	54
种子	54
照相	54
音乐	54
学问	54
演	54
行政	54
校	54
显示	54
马路	54
空前	54
积累	54
供给	54
公园	54
担任	54
飘	54
仅仅	54
早上	54
小子	54
体系	54
耐用	54
绿色	54
捞	54
嫁	54
疯	54
方	54
血液	54
安慰	54
晒	54
年青	54
宝剑	54
整齐	53
依然	53
突出	53
填	53
四周	53
且	53
眉头	53
理	53
逢	53
耳	53
动员	53
欠	53
牌	53
联	53
好	53
原子	53
小组	53
雾	53
上学	53
泥土	53
壳	53
降	53
记载	53
卵	53
咧	53
决议	53
吼	53
山地	53
教材	53
勇气	52
周	52
整理	52
一生	52
形象	52
确	52
旗	52
灭	52
付	52
斗	52
的话	52
不如	52
校长	52
虎	52
观念	52
繁殖	52
反应	52
售货	52
煮	52
愿望	52
以至	52
易	52
山区	52
仍旧	52
拼	52
得了	52
日益	52
亲戚	52
逗	52
大型	52
国王	52
伤心	52
媳妇	52
教	52
老汉	52
猿人	52
顺利	51
否则	51
侦察	51
消耗	51
吸引	51
维护	51
似	51
设	51
扣	51
搁	51
刺	51
笔	51
镇压	51
洋	51
热量	51
